GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minicp:minicp,minicp.engine.core,IntVarViewOffset,83,122,9,3,18,29,9,16,4,15
minicp:minicp,minicp.engine.core,BoolVarIsEqual,98,0,18,0,23,0,16,0,7,0
minicp:minicp,minicp.engine.core,AbstractConstraint,2,39,0,0,2,12,2,6,2,6
minicp:minicp,minicp.engine.core,BoolVarImpl,67,77,6,8,22,20,15,15,11,12
minicp:minicp,minicp.engine.core,IntVarViewMul,145,154,20,16,29,31,23,17,9,13
minicp:minicp,minicp.engine.core,SparseSetDomain,61,180,10,36,17,45,9,27,2,10
minicp:minicp,minicp.engine.core,IntVarImpl.new DomainListener() {...},0,36,0,0,0,10,0,6,0,6
minicp:minicp,minicp.engine.core,IntVarImpl,21,186,3,5,3,45,5,22,2,21
minicp:minicp,minicp.engine.core,Minimize,18,20,2,0,3,5,2,2,1,2
minicp:minicp,minicp.engine.core,MiniCP,6,114,0,12,3,35,1,18,1,12
minicp:minicp,minicp.engine.core,ConstraintClosure,0,12,0,0,0,6,0,3,0,3
minicp:minicp,minicp.engine.core,IntVarViewOpposite,92,63,8,0,23,19,11,12,7,12
minicp:minicp,minicp.util.io.cpprofilerbridge,Connector,672,0,8,0,83,0,19,0,15,0
minicp:minicp,minicp.util.io.cpprofilerbridge,Message.MsgType,59,0,0,0,7,0,3,0,3,0
minicp:minicp,minicp.util.io.cpprofilerbridge,Connector.NodeStatus,59,0,0,0,7,0,3,0,3,0
minicp:minicp,minicp.util.io.cpprofilerbridge,Example,104,0,0,0,17,0,2,0,2,0
minicp:minicp,minicp.util.io.cpprofilerbridge,Message,592,0,18,0,128,0,31,0,22,0
minicp:minicp,minicp.util.io.cpprofilerbridge,Message.OptionalArgs,48,0,0,0,6,0,3,0,3,0
minicp:minicp,tinycsp,Variable,9,0,0,0,3,0,1,0,1,0
minicp:minicp,tinycsp,TinyCSP.Inconsistency,3,0,0,0,1,0,1,0,1,0
minicp:minicp,tinycsp,Domain,90,0,12,0,21,0,14,0,8,0
minicp:minicp,tinycsp,Constraint,3,0,0,0,1,0,1,0,1,0
minicp:minicp,tinycsp,NotEqual,54,0,4,0,12,0,5,0,3,0
minicp:minicp,tinycsp,TinyCSP,230,0,22,0,55,0,23,0,12,0
minicp:minicp,minicp.search,TreeVisualizer.new DFSListener() {...},78,0,0,0,7,0,4,0,4,0
minicp:minicp,minicp.search,LimitedDiscrepancyBranching,5,15,1,1,0,6,1,2,0,2
minicp:minicp,minicp.search,DFSearch,79,233,0,6,18,57,9,19,9,16
